Round,変数,T01,T02,T03,T04,T05,T06,T07,T08,T09
R10,売上原価,73800,62800,64000,89600,45000,53700,71200,61650,53200
R01,売上総利益,69540,87500,71820,67200,63500,69090,56280,67200,77200
R02,売上総利益,67080,84760,89280,35500,63900,76000,107610,78500,63020
R03,売上総利益,75670,74360,86700,97350,59000,73500,54560,55650,69750
R04,売上総利益,66150,70200,93152,89100,61710,71500,85800,76500,79500
R05,売上総利益,83500,87210,68820,56160,65340,66500,60480,77000,62730
R06,売上総利益,76500,75350,80370,67500,87500,75240,101750,76450,66000
R07,売上総利益,92120,81950,73500,65250,68200,82800,91300,81400,64500
R08,売上総利益,97020,109800,117600,72800,63800,85250,77550,76000,74800
R09,売上総利益,79650,94600,73320,76200,72500,90270,89650,103820,96000
R10,売上総利益,99000,86350,96000,132160,76500,89500,106800,75350,79800
R01,営業利益,4540,17500,6820,7200,13500,14090,6280,7200,7200
R02,営業利益,4080,14760,9278,-14500,13900,16000,12610,13500,13020
R03,営業利益,5670,9360,6692,12350,9000,11500,4550,650,4750
R04,営業利益,3150,8200,3145,4100,11710,10500,5800,1500,-500
R05,営業利益,16500,22210,3820,-28840,15340,5500,10480,17000,12730
R06,営業利益,9500,13350,13354,7500,-2500,15240,1750,11450,16000
R07,営業利益,25120,24950,17500,15250,18200,22800,26300,16400,14500
R08,営業利益,25020,39800,37599,22800,13800,25250,12550,21000,24800
R09,営業利益,7650,19600,8320,26200,22500,25270,19650,23820,26000
R10,営業利益,26000,26350,31000,32160,26500,24500,31800,25250,29800
R01,累積販売価格,690,900,830,700,800,800,800,700,700
R02,累積販売価格,1420,1850,1730,1400,1550,1600,1710,1600,1500
R03,累積販売価格,2240,2800,2660,2300,2550,2400,2630,2250,2300
R04,累積販売価格,3060,3760,3610,3190,3550,3200,3530,3150,3200
R05,累積販売価格,3930,4760,4290,3990,4550,4000,4250,3950,4200
R06,累積販売価格,4770,5710,5290,4790,5550,5000,5250,4950,5200
R07,累積販売価格,5700,6660,6290,5540,6550,5700,6100,5950,6150
R08,累積販売価格,6630,7660,7290,6295,7550,6550,6950,6950,7150
R09,累積販売価格,7540,8660,7990,7295,8350,7540,7950,7930,8150
R10,累積販売価格,8500,9610,8990,8285,9160,8340,8950,8930,9150
R01,累積材料費,56730,70000,70110,50400,38100,43710,50920,50400,57900
R02,累積材料費,115210,140090,148230,64600,80700,89310,135320,113200,104480
R03,累積材料費,171560,201580,219630,126550,139700,133410,194840,160900,158730
R04,累積材料費,225950,260980,282278,181630,198990,176310,249440,222100,222330
R05,累積材料費,287740,326770,339938,208670,254650,216210,292640,268300,282600
R06,累積材料費,339760,381570,400568,261170,342150,272970,375890,330850,336600
R07,累積材料費,422480,441170,474068,304670,397950,318970,425690,397450,394650
R08,累積材料費,509600,514370,566468,352670,450150,365470,467990,473450,455850
R09,累積材料費,591020,591770,624748,403470,493650,426670,541340,545050,519850
R10,累積材料費,664820,654570,688748,493070,538650,480370,612540,606700,573050
R01,累積広告費,15000,20000,15000,10000,0,5000,0,10000,20000
R02,累積広告費,28000,40000,45002,10000,0,15000,45000,25000,20000
R03,累積広告費,48000,55000,75010,45000,0,27000,45010,30000,35000
R04,累積広告費,61000,67000,115017,80000,0,38000,75010,55000,65000
R05,累積広告費,78000,82000,130017,115000,0,49000,75010,65000,65000
R06,累積広告費,95000,94000,147033,125000,40000,59000,125010,80000,65000
R07,累積広告費,112000,101000,153033,125000,40000,69000,140010,95000,65000
R08,累積広告費,134000,121000,183034,125000,40000,79000,155010,100000,65000
R09,累積広告費,156000,146000,198034,125000,40000,94000,175010,130000,85000
R10,累積広告費,179000,156000,213034,175000,40000,109000,200010,130100,85000
R01,累積一般管理費,50000,50000,50000,50000,50000,50000,50000,50000,50000
R02,累積一般管理費,100000,100000,100000,100000,100000,100000,100000,100000,100000
R03,累積一般管理費,150000,150000,150000,150000,150000,150000,150000,150000,150000
R04,累積一般管理費,200000,200000,200000,200000,200000,200000,200000,200000,200000
R05,累積一般管理費,250000,250000,250000,250000,250000,250000,250000,250000,250000
R06,累積一般管理費,300000,300000,300000,300000,300000,300000,300000,300000,300000
R07,累積一般管理費,350000,350000,350000,350000,350000,350000,350000,350000,350000
R08,累積一般管理費,400000,400000,400000,400000,400000,400000,400000,400000,400000
R09,累積一般管理費,450000,450000,450000,450000,450000,450000,450000,450000,450000
R10,累積一般管理費,500000,500000,500000,500000,500000,500000,500000,500000,500000
R01,累積来店客数,183,175,171,168,127,141,134,168,193
R02,累積来店客数,355,338,357,239,269,293,345,325,330
R03,累積来店客数,516,481,527,416,387,440,469,484,485
R04,累積来店客数,663,616,691,578,508,583,625,637,644
R05,累積来店客数,830,769,877,682,629,716,769,791,767
R06,累積来店客数,983,906,1018,832,804,848,954,930,887
R07,累積来店客数,1171,1055,1165,977,928,1032,1120,1078,1016
R08,累積来店客数,1369,1238,1375,1137,1044,1187,1261,1230,1152
R09,累積来店客数,1546,1410,1563,1264,1189,1340,1424,1409,1312
R10,累積来店客数,1726,1567,1723,1488,1339,1519,1602,1546,1445
R01,累積売上高,126270,157500,141930,117600,101600,112800,107200,117600,135100
R02,累積売上高,251830,312350,309330,167300,208100,234400,299210,258900,244700
R03,累積売上高,383850,448200,467430,326600,326100,352000,413290,362250,368700
R04,累積売上高,504390,577800,623230,470780,447100,466400,553690,499950,511800
R05,累積売上高,649680,730800,749710,553980,568100,572800,657370,623150,634800
R06,累積売上高,778200,860950,890710,673980,743100,704800,842370,762150,754800
R07,累積売上高,953040,1002500,1037710,782730,867100,833600,983470,910150,877350
R08,累積売上高,1137180,1185500,1247710,903530,983100,965350,1103320,1062150,1013350
R09,累積売上高,1298250,1357500,1379310,1030530,1099100,1116820,1266320,1237570,1173350
R10,累積売上高,1471050,1506650,1539310,1252290,1220600,1260020,1444320,1374570,1306350
R01,累積売上原価,56730,70000,70110,50400,38100,43710,50920,50400,57900
R02,累積売上原価,115210,140090,148230,64600,80700,89310,135320,113200,104480
R03,累積売上原価,171560,201580,219630,126550,139700,133410,194840,160900,158730
R04,累積売上原価,225950,260980,282278,181630,198990,176310,249440,222100,222330
R05,累積売上原価,287740,326770,339938,208670,254650,216210,292640,268300,282600
R06,累積売上原価,339760,381570,400568,261170,342150,272970,375890,330850,336600
R07,累積売上原価,422480,441170,474068,304670,397950,318970,425690,397450,394650
R08,累積売上原価,509600,514370,566468,352670,450150,365470,467990,473450,455850
R09,累積売上原価,591020,591770,624748,403470,493650,426670,541340,545050,519850
R10,累積売上原価,664820,654570,688748,493070,538650,480370,612540,606700,573050
R01,累積売上総利益,69540,87500,71820,67200,63500,69090,56280,67200,77200
R02,累積売上総利益,136620,172260,161100,102700,127400,145090,163890,145700,140220
R03,累積売上総利益,212290,246620,247800,200050,186400,218590,218450,201350,209970
R04,累積売上総利益,278440,316820,340952,289150,248110,290090,304250,277850,289470
R05,累積売上総利益,361940,404030,409772,345310,313450,356590,364730,354850,352200
R06,累積売上総利益,438440,479380,490142,412810,400950,431830,466480,431300,418200
R07,累積売上総利益,530560,561330,563642,478060,469150,514630,557780,512700,482700
R08,累積売上総利益,627580,671130,681242,550860,532950,599880,635330,588700,557500
R09,累積売上総利益,707230,765730,754562,627060,605450,690150,724980,692520,653500
R10,累積売上総利益,806230,852080,850562,759220,681950,779650,831780,767870,733300
R01,累積営業利益,4540,17500,6820,7200,13500,14090,6280,7200,7200
R02,累積営業利益,8620,32260,16098,-7300,27400,30090,18890,20700,20220
R03,累積営業利益,14290,41620,22790,5050,36400,41590,23440,21350,24970
R04,累積営業利益,17440,49820,25935,9150,48110,52090,29240,22850,24470
R05,累積営業利益,33940,72030,29755,-19690,63450,57590,39720,39850,37200
R06,累積営業利益,43440,85380,43109,-12190,60950,72830,41470,51300,53200
R07,累積営業利益,68560,110330,60609,3060,79150,95630,67770,67700,67700
R08,累積営業利益,93580,150130,98208,25860,92950,120880,80320,88700,92500
R09,累積営業利益,101230,169730,106528,52060,115450,146150,99970,112520,118500
R10,累積営業利益,127230,196080,137528,84220,141950,170650,131770,137770,148300
